Commune,Number of sales,Average registered price per squared meter in €,MinPriceSM,MaxPriceSM,Year,,,,,,,,,,,
Sanem,88,3358.0169999999998,2636,4332,2009,,,,,,,,,,,
Schengen,15,3106.413,2197,4329,2009,,,,,,,,,,,
Schieren,0,3488.124,2301,4852,2009,,,,,,,,,,,
Schifflange,40,3171.576,2510,3851,2009,,,,,,,,,,,
Schuttrange,10,3655.212,2301,4153,2009,,,,,,,,,,,
Septfontaines,0,3488.124,2301,4852,2009,,,,,,,,,,,
Stadtbredimus,11,3457.5039999999999,2654,3853,2009,,,,,,,,,,,
Steinfort,17,3551.9879999999998,1805,4662,2009,,,,,,,,,,,
Steinsel,17,3576.7420000000002,2087,4746,2009,,,,,,,,,,,
Strassen,46,3998.2530000000002,2922,5780,2009,,,,,,,,,,,
Tandel,3,3488.124,2301,4852,2009,,,,,,,,,,,
Troisvierges,2,3488.124,2301,4852,2009,,,,,,,,,,,
Tuntange,0,3488.124,2301,4852,2009,,,,,,,,,,,
Useldange,7,3488.124,2301,4852,2009,,,,,,,,,,,
Vallée de l'Ernz,2,3488.124,2301,4852,2009,,,,,,,,,,,
Vianden,1,3488.124,2301,4852,2009,,,,,,,,,,,
Vichten,6,3488.124,2301,4852,2009,,,,,,,,,,,
Wahl,0,3488.124,2301,4852,2009,,,,,,,,,,,
Waldbillig,5,3488.124,2301,4852,2009,,,,,,,,,,,
Waldbredimus,1,3488.124,2301,4852,2009,,,,,,,,,,,
Walferdange,42,3880.605,2739,4834,2009,,,,,,,,,,,
Weiler-la-Tour,3,3488.124,2301,4852,2009,,,,,,,,,,,
Weiswampach,5,3488.124,2301,4852,2009,,,,,,,,,,,
Wiltz,8,3488.124,2301,4852,2009,,,,,,,,,,,
Wincrange,3,3488.124,2301,4852,2009,,,,,,,,,,,
Winseler,4,3488.124,2301,4852,2009,,,,,,,,,,,
Wormeldange,2,3488.124,2301,4852,2009,,,,,,,,,,,
National Average,,3488.1239999999998,2301,4852,2009,,,,,,,,,,,
Beaufort,2,3663.585,2438,5142,2010,,,,,,,,,,,
Bech,0,3663.585,2438,5142,2010,,,,,,,,,,,
Beckerich,10,3140.9989999999998,2397,3950,2010,,,,,,,,,,,
Berdorf,2,3663.585,2438,5142,2010,,,,,,,,,,,
Bertrange,20,4122.1710000000003,3227,5567,2010,,,,,,,,,,,
Bettembourg,34,3482.89,2470,4289,2010,,,,,,,,,,,
Bettendorf,4,3663.585,2438,5142,2010,,,,,,,,,,,
Betzdorf,10,4306.1189999999997,3448,5001,2010,,,,,,,,,,,
Bissen,14,3245.1750000000002,2272,4000,2010,,,,,,,,,,,
Biwer,3,3663.585,2438,5142,2010,,,,,,,,,,,
Boevange-sur-Attert,2,3663.585,2438,5142,2010,,,,,,,,,,,
Boulaide,2,3663.585,2438,5142,2010,,,,,,,,,,,
Bourscheid,0,3663.585,2438,5142,2010,,,,,,,,,,,
Bous,5,3663.585,2438,5142,2010,,,,,,,,,,,
Clervaux,12,3321.924,2524,4865,2010,,,,,,,,,,,
Colmar-Berg,15,3213.2089999999998,2422,4270,2010,,,,,,,,,,,
Consdorf,3,3663.585,2438,5142,2010,,,,,,,,,,,
Contern,11,3853.9180000000001,2191,4993,2010,,,,,,,,,,,
Dalheim,12,3391.2310000000002,2705,4254,2010,,,,,,,,,,,
Diekirch,18,3428.99,2455,4152,2010,,,,,,,,,,,
Differdange,174,3268.7959999999998,2391,4073,2010,,,,,,,,,,,
Dippach,16,3531.395,2103,5111,2010,,,,,,,,,,,
Dudelange,123,3459.9929999999999,2527,4420,2010,,,,,,,,,,,
Echternach,26,3389.8339999999998,2491,4249,2010,,,,,,,,,,,
Ell,8,3663.585,2438,5142,2010,,,,,,,,,,,
Erpeldange,7,3663.585,2438,5142,2010,,,,,,,,,,,
Esch-sur-Alzette,160,3334.614,2441,4532,2010,,,,,,,,,,,
Esch-sur-Sûre,1,3663.585,2438,5142,2010,,,,,,,,,,,
Eschweiler,4,3663.585,2438,5142,2010,,,,,,,,,,,
Ettelbruck,47,3295.174,2112,4302,2010,,,,,,,,,,,
Feulen,3,3663.585,2438,5142,2010,,,,,,,,,,,
Fischbach,4,3663.585,2438,5142,2010,,,,,,,,,,,
Flaxweiler,0,3663.585,2438,5142,2010,,,,,,,,,,,
Frisange,28,3648.6179999999999,2706,4807,2010,,,,,,,,,,,
Garnich,1,3663.585,2438,5142,2010,,,,,,,,,,,
Goesdorf,4,3663.585,2438,5142,2010,,,,,,,,,,,
Grevenmacher,32,3631.9110000000001,2620,4795,2010,,,,,,,,,,,
Grosbous,1,3663.585,2438,5142,2010,,,,,,,,,,,
Heffingen,0,3663.585,2438,5142,2010,,,,,,,,,,,
Hesperange,76,4236.4830000000002,3195,5277,2010,,,,,,,,,,,
Hobscheid,15,3462.752,2855,3830,2010,,,,,,,,,,,
Junglinster,16,3728.8440000000001,2739,4620,2010,,,,,,,,,,,
Kaerjeng,46,3454.3380000000002,2362,4284,2010,,,,,,,,,,,
Kayl,48,3426.9650000000001,2088,4406,2010,,,,,,,,,,,
Kehlen,8,3663.585,2438,5142,2010,,,,,,,,,,,
Kiischpelt,4,3663.585,2438,5142,2010,,,,,,,,,,,
Koerich,1,3663.585,2438,5142,2010,,,,,,,,,,,
Kopstal,5,3663.585,2438,5142,2010,,,,,,,,,,,
Lac de la Haute-Sûre,3,3663.585,2438,5142,2010,,,,,,,,,,,
Larochette,17,2951.252,1742,3909,2010,,,,,,,,,,,
Lenningen,5,3663.585,2438,5142,2010,,,,,,,,,,,
Leudelange,16,3900.8040000000001,2534,5327,2010,,,,,,,,,,,
Lintgen,11,3588.2950000000001,2787,4373,2010,,,,,,,,,,,
Lorentzweiler,9,3663.585,2438,5142,2010,,,,,,,,,,,
Luxembourg City,448,4375.442,2922,6000,2010,,,,,,,,,,,
Mamer,16,3717.252,2584,4530,2010,,,,,,,,,,,
Manternach,1,3663.585,2438,5142,2010,,,,,,,,,,,
Mersch,34,3393.1280000000002,2274,4253,2010,,,,,,,,,,,
Mertert,9,3663.585,2438,5142,2010,,,,,,,,,,,
Mertzig,2,3663.585,2438,5142,2010,,,,,,,,,,,
Mompach,0,3663.585,2438,5142,2010,,,,,,,,,,,
Mondercange,26,3393.1060000000002,2786,3949,2010,,,,,,,,,,,
Mondorf-les-Bains,26,3749.51,2899,4615,2010,,,,,,,,,,,
Niederanven,2,3663.585,2438,5142,2010,,,,,,,,,,,
