Commune,Number of sales,Average registered price per squared meter in €,MinPriceSM,MaxPriceSM,Year,,,,,,,,,,,
Rumelange,30,3432.808,2525,4260,2012,,,,,,,,,,,
Saeul,4,3998.736,2543,5933,2012,,,,,,,,,,,
Sandweiler,10,4362.7719999999999,3714,5274,2012,,,,,,,,,,,
Sanem,71,3670.7829999999999,2532,4705,2012,,,,,,,,,,,
Schengen,16,3619.799,2446,4787,2012,,,,,,,,,,,
Schieren,7,3998.736,2543,5933,2012,,,,,,,,,,,
Schifflange,40,3408.8580000000002,2254,4366,2012,,,,,,,,,,,
Schuttrange,7,3998.736,2543,5933,2012,,,,,,,,,,,
Septfontaines,0,3998.736,2543,5933,2012,,,,,,,,,,,
Stadtbredimus,5,3998.736,2543,5933,2012,,,,,,,,,,,
Steinfort,10,3549.6439999999998,2115,4511,2012,,,,,,,,,,,
Steinsel,16,4270.3860000000004,2612,5845,2012,,,,,,,,,,,
Strassen,54,5059.8779999999997,3544,6219,2012,,,,,,,,,,,
Tandel,7,3998.736,2543,5933,2012,,,,,,,,,,,
Troisvierges,5,3998.736,2543,5933,2012,,,,,,,,,,,
Tuntange,6,3998.736,2543,5933,2012,,,,,,,,,,,
Useldange,2,3998.736,2543,5933,2012,,,,,,,,,,,
Vallée de l'Ernz,1,3998.736,2543,5933,2012,,,,,,,,,,,
Vianden,0,3998.736,2543,5933,2012,,,,,,,,,,,
Vichten,2,3998.736,2543,5933,2012,,,,,,,,,,,
Wahl,0,3998.736,2543,5933,2012,,,,,,,,,,,
Waldbillig,4,3998.736,2543,5933,2012,,,,,,,,,,,
Waldbredimus,1,3998.736,2543,5933,2012,,,,,,,,,,,
Walferdange,32,4571.5069999999996,3568,5666,2012,,,,,,,,,,,
Weiler-la-Tour,6,3998.736,2543,5933,2012,,,,,,,,,,,
Weiswampach,5,3998.736,2543,5933,2012,,,,,,,,,,,
Wiltz,24,2868.0010000000002,2386,3432,2012,,,,,,,,,,,
Wincrange,6,3998.736,2543,5933,2012,,,,,,,,,,,
Winseler,8,3998.736,2543,5933,2012,,,,,,,,,,,
Wormeldange,6,3998.736,2543,5933,2012,,,,,,,,,,,
National Average,,3998.7359999999999,2543,5933,2012,,,,,,,,,,,
Beaufort,1,4160,2624,6176,2013,,,,,,,,,,,
Bech,1,4160,2624,6176,2013,,,,,,,,,,,
Beckerich,8,4160,2624,6176,2013,,,,,,,,,,,
Berdorf,3,4160,2624,6176,2013,,,,,,,,,,,
Bertrange,31,5367.2129999999997,3603,6705,2013,,,,,,,,,,,
Bettembourg,52,3804.1529999999998,2589,4959,2013,,,,,,,,,,,
Bettendorf,10,3555.2939999999999,2256,5275,2013,,,,,,,,,,,
Betzdorf,8,4160,2624,6176,2013,,,,,,,,,,,
Bissen,13,3155.8270000000002,1880,3794,2013,,,,,,,,,,,
Biwer,4,4160,2624,6176,2013,,,,,,,,,,,
Boevange-sur-Attert,2,4160,2624,6176,2013,,,,,,,,,,,
Boulaide,3,4160,2624,6176,2013,,,,,,,,,,,
Bourscheid,1,4160,2624,6176,2013,,,,,,,,,,,
Bous,2,4160,2624,6176,2013,,,,,,,,,,,
Clervaux,18,2927.163,1679,3532,2013,,,,,,,,,,,
Colmar-Berg,23,3441.5419999999999,2930,3962,2013,,,,,,,,,,,
Consdorf,1,4160,2624,6176,2013,,,,,,,,,,,
Contern,6,4160,2624,6176,2013,,,,,,,,,,,
Dalheim,2,4160,2624,6176,2013,,,,,,,,,,,
Diekirch,29,3770.578,2164,4967,2013,,,,,,,,,,,
Differdange,175,3604.3290000000002,2290,4696,2013,,,,,,,,,,,
Dippach,12,4009.6439999999998,2349,5357,2013,,,,,,,,,,,
Dudelange,122,3766.2739999999999,2550,4612,2013,,,,,,,,,,,
Echternach,24,3560.576,2264,4214,2013,,,,,,,,,,,
Ell,5,4160,2624,6176,2013,,,,,,,,,,,
Erpeldange,13,3832.5459999999998,2777,4899,2013,,,,,,,,,,,
Esch-sur-Alzette,193,3798.34,2600,5116,2013,,,,,,,,,,,
Esch-sur-Sûre,2,4160,2624,6176,2013,,,,,,,,,,,
Eschweiler,1,4160,2624,6176,2013,,,,,,,,,,,
Ettelbruck,49,3495.7779999999998,1811,4893,2013,,,,,,,,,,,
Feulen,1,4160,2624,6176,2013,,,,,,,,,,,
Fischbach,7,4160,2624,6176,2013,,,,,,,,,,,
Flaxweiler,1,4160,2624,6176,2013,,,,,,,,,,,
Frisange,28,4374.4530000000004,3466,5397,2013,,,,,,,,,,,
Garnich,1,4160,2624,6176,2013,,,,,,,,,,,
Goesdorf,7,4160,2624,6176,2013,,,,,,,,,,,
Grevenmacher,24,3845.828,2686,4972,2013,,,,,,,,,,,
Grosbous,6,4160,2624,6176,2013,,,,,,,,,,,
Heffingen,0,4160,2624,6176,2013,,,,,,,,,,,
Hesperange,96,4758.7690000000002,3386,5932,2013,,,,,,,,,,,
Hobscheid,12,3786.6320000000001,2606,4522,2013,,,,,,,,,,,
Junglinster,18,4441.9369999999999,3573,5543,2013,,,,,,,,,,,
Kaerjeng,37,3583.8249999999998,2397,4708,2013,,,,,,,,,,,
Kayl,52,3867.9340000000002,2431,4976,2013,,,,,,,,,,,
Kehlen,16,4281.0919999999996,2053,5689,2013,,,,,,,,,,,
Kiischpelt,1,4160,2624,6176,2013,,,,,,,,,,,
Koerich,6,4160,2624,6176,2013,,,,,,,,,,,
Kopstal,7,4160,2624,6176,2013,,,,,,,,,,,
Lac de la Haute-Sûre,1,4160,2624,6176,2013,,,,,,,,,,,
Larochette,11,3588.3719999999998,2707,4302,2013,,,,,,,,,,,
Lenningen,4,4160,2624,6176,2013,,,,,,,,,,,
Leudelange,14,4676.2110000000002,3796,5641,2013,,,,,,,,,,,
Lintgen,12,3891.442,3057,5293,2013,,,,,,,,,,,
Lorentzweiler,8,4160,2624,6176,2013,,,,,,,,,,,
Luxembourg City,433,5339.8729999999996,3644,7358,2013,,,,,,,,,,,
Mamer,24,4640.9849999999997,3891,5410,2013,,,,,,,,,,,
Manternach,0,4160,2624,6176,2013,,,,,,,,,,,
Mersch,51,3992.0720000000001,2642,5050,2013,,,,,,,,,,,
Mertert,17,3487.7939999999999,2322,4748,2013,,,,,,,,,,,
Mertzig,1,4160,2624,6176,2013,,,,,,,,,,,
Mompach,0,4160,2624,6176,2013,,,,,,,,,,,
Mondercange,22,3951.2489999999998,3118,5051,2013,,,,,,,,,,,
Mondorf-les-Bains,37,3977.683,2638,5319,2013,,,,,,,,,,,
Niederanven,3,4160,2624,6176,2013,,,,,,,,,,,
Nommern,0,4160,2624,6176,2013,,,,,,,,,,,
Parc Hosingen,8,4160,2624,6176,2013,,,,,,,,,,,
Petange,92,3536.9479999999999,2556,4517,2013,,,,,,,,,,,
Preizerdaul,3,4160,2624,6176,2013,,,,,,,,,,,
Putscheid,0,4160,2624,6176,2013,,,,,,,,,,,
Rambrouch,3,4160,2624,6176,2013,,,,,,,,,,,
Reckange-sur-Mess,5,4160,2624,6176,2013,,,,,,,,,,,
Redange,3,4160,2624,6176,2013,,,,,,,,,,,
Reisdorf,2,4160,2624,6176,2013,,,,,,,,,,,
Remich,35,3690.3,2193,4800,2013,,,,,,,,,,,
Roeser,52,4382.902,3306,5539,2013,,,,,,,,,,,
Rosport,2,4160,2624,6176,2013,,,,,,,,,,,
Rumelange,25,3475.3850000000002,2464,4791,2013,,,,,,,,,,,
Saeul,3,4160,2624,6176,2013,,,,,,,,,,,
Sandweiler,16,4837.2290000000003,3093,6168,2013,,,,,,,,,,,
Sanem,63,3695.9690000000001,2830,4457,2013,,,,,,,,,,,
Schengen,22,3640.58,2867,4687,2013,,,,,,,,,,,
Schieren,3,4160,2624,6176,2013,,,,,,,,,,,
Schifflange,37,3727.3670000000002,2201,5547,2013,,,,,,,,,,,
Schuttrange,12,4382.6790000000001,3739,5625,2013,,,,,,,,,,,
Septfontaines,0,4160,2624,6176,2013,,,,,,,,,,,
Stadtbredimus,8,4160,2624,6176,2013,,,,,,,,,,,
Steinfort,10,3956.172,3556,4433,2013,,,,,,,,,,,
Steinsel,14,4254.7470000000003,2585,6096,2013,,,,,,,,,,,
Strassen,51,5232.576,3886,6863,2013,,,,,,,,,,,
Tandel,9,4160,2624,6176,2013,,,,,,,,,,,
Troisvierges,5,4160,2624,6176,2013,,,,,,,,,,,
Tuntange,7,4160,2624,6176,2013,,,,,,,,,,,
Useldange,6,4160,2624,6176,2013,,,,,,,,,,,
Vallée de l'Ernz,6,4160,2624,6176,2013,,,,,,,,,,,
Vianden,5,4160,2624,6176,2013,,,,,,,,,,,
Vichten,8,4160,2624,6176,2013,,,,,,,,,,,
Wahl,2,4160,2624,6176,2013,,,,,,,,,,,
Waldbillig,2,4160,2624,6176,2013,,,,,,,,,,,
Waldbredimus,2,4160,2624,6176,2013,,,,,,,,,,,
Walferdange,36,4621.71,2964,5744,2013,,,,,,,,,,,
Weiler-la-Tour,5,4160,2624,6176,2013,,,,,,,,,,,
Weiswampach,6,4160,2624,6176,2013,,,,,,,,,,,
Wiltz,16,2821.5889999999999,1912,4685,2013,,,,,,,,,,,
Wincrange,5,4160,2624,6176,2013,,,,,,,,,,,
Winseler,5,4160,2624,6176,2013,,,,,,,,,,,
Wormeldange,6,4160,2624,6176,2013,,,,,,,,,,,
National Average,,4160,2624,6176,2013,,,,,,,,,,,
Beaufort,5,4323.188,2754,6487,2014,,,,,,,,,,,
Bech,2,4323.188,2754,6487,2014,,,,,,,,,,,
Beckerich,4,4323.188,2754,6487,2014,,,,,,,,,,,
Berdorf,7,4323.188,2754,6487,2014,,,,,,,,,,,
Bertrange,51,5974.7420000000002,4045,7711,2014,,,,,,,,,,,
Bettembourg,40,3925.2089999999998,3064,4540,2014,,,,,,,,,,,
Bettendorf,6,4323.188,2754,6487,2014,,,,,,,,,,,
Betzdorf,11,4058.9059999999999,2261,5174,2014,,,,,,,,,,,
Bissen,8,4323.188,2754,6487,2014,,,,,,,,,,,
Biwer,0,4323.188,2754,6487,2014,,,,,,,,,,,
Boevange-sur-Attert,1,4323.188,2754,6487,2014,,,,,,,,,,,
Boulaide,4,4323.188,2754,6487,2014,,,,,,,,,,,
Bourscheid,0,4323.188,2754,6487,2014,,,,,,,,,,,
Bous,6,4323.188,2754,6487,2014,,,,,,,,,,,
Clervaux,22,3105.94,2065,3893,2014,,,,,,,,,,,
Colmar-Berg,23,3667.4360000000001,2905,4253,2014,,,,,,,,,,,
Consdorf,2,4323.188,2754,6487,2014,,,,,,,,,,,
Contern,16,4237.2569999999996,2814,7180,2014,,,,,,,,,,,
Dalheim,3,4323.188,2754,6487,2014,,,,,,,,,,,
Diekirch,32,3747.355,2640,5006,2014,,,,,,,,,,,
Differdange,208,3676.2,2562,4755,2014,,,,,,,,,,,
Dippach,13,4310.9260000000004,3281,5529,2014,,,,,,,,,,,
Dudelange,131,3837.0569999999998,2698,4827,2014,,,,,,,,,,,
Echternach,22,3924.5169999999998,3061,5018,2014,,,,,,,,,,,
Ell,5,4323.188,2754,6487,2014,,,,,,,,,,,
Erpeldange,8,4323.188,2754,6487,2014,,,,,,,,,,,
Esch-sur-Alzette,279,3894.4549999999999,2846,5136,2014,,,,,,,,,,,
Esch-sur-Sûre,6,4323.188,2754,6487,2014,,,,,,,,,,,
Eschweiler,2,4323.188,2754,6487,2014,,,,,,,,,,,
Ettelbruck,54,4065.0329999999999,2756,5404,2014,,,,,,,,,,,
Feulen,7,4323.188,2754,6487,2014,,,,,,,,,,,
Fischbach,3,4323.188,2754,6487,2014,,,,,,,,,,,
Flaxweiler,0,4323.188,2754,6487,2014,,,,,,,,,,,
Frisange,29,4120.192,3195,5048,2014,,,,,,,,,,,
Garnich,2,4323.188,2754,6487,2014,,,,,,,,,,,
Goesdorf,12,3364.6930000000002,2495,4034,2014,,,,,,,,,,,
Grevenmacher,36,4132.43,3106,4872,2014,,,,,,,,,,,
Grosbous,4,4323.188,2754,6487,2014,,,,,,,,,,,
Heffingen,2,4323.188,2754,6487,2014,,,,,,,,,,,
Hesperange,103,4948.8869999999997,3692,6149,2014,,,,,,,,,,,
Hobscheid,15,3722.201,2821,4379,2014,,,,,,,,,,,
Junglinster,18,4473.54,3037,6032,2014,,,,,,,,,,,
Kaerjeng,46,3844.951,2946,4716,2014,,,,,,,,,,,
Kayl,51,3897.7489999999998,2860,4780,2014,,,,,,,,,,,
Kehlen,13,4532.9639999999999,3054,5706,2014,,,,,,,,,,,
Kiischpelt,2,4323.188,2754,6487,2014,,,,,,,,,,,
Koerich,5,4323.188,2754,6487,2014,,,,,,,,,,,
Kopstal,11,5070.5439999999999,3348,7473,2014,,,,,,,,,,,
Lac de la Haute-Sûre,3,4323.188,2754,6487,2014,,,,,,,,,,,
Larochette,12,3735.9319999999998,2890,4234,2014,,,,,,,,,,,
Lenningen,3,4323.188,2754,6487,2014,,,,,,,,,,,
Leudelange,16,4993.8010000000004,3863,6342,2014,,,,,,,,,,,
Lintgen,16,4165.7889999999998,3006,5248,2014,,,,,,,,,,,
Lorentzweiler,13,4713.4369999999999,3231,5879,2014,,,,,,,,,,,
Luxembourg City,536,5616.201,3946,7564,2014,,,,,,,,,,,
Mamer,39,4699.1090000000004,2996,5693,2014,,,,,,,,,,,
Manternach,0,4323.188,2754,6487,2014,,,,,,,,,,,
Mersch,61,4115.7079999999996,3176,5283,2014,,,,,,,,,,,
Mertert,24,3661.58,2701,4661,2014,,,,,,,,,,,
Mertzig,4,4323.188,2754,6487,2014,,,,,,,,,,,
Mompach,0,4323.188,2754,6487,2014,,,,,,,,,,,
Mondercange,29,4268.125,3100,5011,2014,,,,,,,,,,,
Mondorf-les-Bains,53,4240.2309999999998,3106,5310,2014,,,,,,,,,,,
Niederanven,1,4323.188,2754,6487,2014,,,,,,,,,,,
Nommern,3,4323.188,2754,6487,2014,,,,,,,,,,,
Parc Hosingen,8,4323.188,2754,6487,2014,,,,,,,,,,,
Petange,105,3590.0120000000002,2548,4656,2014,,,,,,,,,,,
Preizerdaul,4,4323.188,2754,6487,2014,,,,,,,,,,,
Putscheid,0,4323.188,2754,6487,2014,,,,,,,,,,,
Rambrouch,7,4323.188,2754,6487,2014,,,,,,,,,,,
Reckange-sur-Mess,9,4323.188,2754,6487,2014,,,,,,,,,,,
Redange,5,4323.188,2754,6487,2014,,,,,,,,,,,
Reisdorf,2,4323.188,2754,6487,2014,,,,,,,,,,,
Remich,40,3766.7040000000002,2274,4944,2014,,,,,,,,,,,
Roeser,55,4472.9679999999998,3260,5725,2014,,,,,,,,,,,
Rosport,2,4323.188,2754,6487,2014,,,,,,,,,,,
Rumelange,29,3558.1480000000001,2759,4617,2014,,,,,,,,,,,
Saeul,9,4323.188,2754,6487,2014,,,,,,,,,,,
Sandweiler,19,4862.558,3790,6453,2014,,,,,,,,,,,
Sanem,86,4053.875,2852,5277,2014,,,,,,,,,,,
Schengen,30,3261.4140000000002,1836,4392,2014,,,,,,,,,,,
Schieren,4,4323.188,2754,6487,2014,,,,,,,,,,,
Schifflange,56,3789.1379999999999,2828,5088,2014,,,,,,,,,,,
Schuttrange,18,4734.6760000000004,3787,5472,2014,,,,,,,,,,,
Septfontaines,0,4323.188,2754,6487,2014,,,,,,,,,,,
Stadtbredimus,16,3578.761,2025,4909,2014,,,,,,,,,,,
Steinfort,20,3942.1060000000002,2619,4997,2014,,,,,,,,,,,
Steinsel,14,4564.085,3640,5927,2014,,,,,,,,,,,
Strassen,59,5576.9870000000001,3674,7174,2014,,,,,,,,,,,
Tandel,2,4323.188,2754,6487,2014,,,,,,,,,,,
Troisvierges,6,4323.188,2754,6487,2014,,,,,,,,,,,
Tuntange,5,4323.188,2754,6487,2014,,,,,,,,,,,
Useldange,3,4323.188,2754,6487,2014,,,,,,,,,,,
Vallée de l'Ernz,11,3401.7060000000001,2456,4492,2014,,,,,,,,,,,
Vianden,4,4323.188,2754,6487,2014,,,,,,,,,,,
Vichten,2,4323.188,2754,6487,2014,,,,,,,,,,,
Wahl,0,4323.188,2754,6487,2014,,,,,,,,,,,
Waldbillig,4,4323.188,2754,6487,2014,,,,,,,,,,,
Waldbredimus,2,4323.188,2754,6487,2014,,,,,,,,,,,
Walferdange,44,4725.7910000000002,3323,5762,2014,,,,,,,,,,,
Weiler-la-Tour,7,4323.188,2754,6487,2014,,,,,,,,,,,
Weiswampach,8,4323.188,2754,6487,2014,,,,,,,,,,,
Wiltz,28,3031.2559999999999,2197,4707,2014,,,,,,,,,,,
Wincrange,5,4323.188,2754,6487,2014,,,,,,,,,,,
Winseler,20,3263.3850000000002,2795,4185,2014,,,,,,,,,,,
Wormeldange,5,4323.188,2754,6487,2014,,,,,,,,,,,
National Average,,4323.1880000000001,2754,6487,2014,,,,,,,,,,,
Beaufort,3,4470.578,2782,6803,2015,,,,,,,,,,,
Bech,1,4470.578,2782,6803,2015,,,,,,,,,,,
Beckerich,9,4470.578,2782,6803,2015,,,,,,,,,,,
Berdorf,8,4470.578,2782,6803,2015,,,,,,,,,,,
Bertrange,26,5773.1480000000001,4116,8090,2015,,,,,,,,,,,
Bettembourg,53,4075.3710000000001,3112,5189,2015,,,,,,,,,,,
Bettendorf,11,3443.9110000000001,2095,5678,2015,,,,,,,,,,,
Betzdorf,7,4470.578,2782,6803,2015,,,,,,,,,,,
Bissen,17,3789.9340000000002,3174,4717,2015,,,,,,,,,,,
Biwer,1,4470.578,2782,6803,2015,,,,,,,,,,,
Boevange-sur-Attert,2,4470.578,2782,6803,2015,,,,,,,,,,,
Boulaide,3,4470.578,2782,6803,2015,,,,,,,,,,,
Bourscheid,0,4470.578,2782,6803,2015,,,,,,,,,,,
Bous,11,4303.0060000000003,3104,5582,2015,,,,,,,,,,,
Clervaux,15,3200.625,2139,4416,2015,,,,,,,,,,,
Colmar-Berg,19,4128.7479999999996,2949,5365,2015,,,,,,,,,,,
Consdorf,3,4470.578,2782,6803,2015,,,,,,,,,,,
Contern,17,4584.9449999999997,2897,6503,2015,,,,,,,,,,,
Dalheim,7,4470.578,2782,6803,2015,,,,,,,,,,,
Diekirch,36,4166.4089999999997,3152,5666,2015,,,,,,,,,,,
Differdange,210,3858.0239999999999,2537,4985,2015,,,,,,,,,,,
Dippach,16,4558.71,2811,5795,2015,,,,,,,,,,,
Dudelange,130,3980.3249999999998,2792,5151,2015,,,,,,,,,,,
Echternach,18,3977.2220000000002,2833,5147,2015,,,,,,,,,,,
Ell,3,4470.578,2782,6803,2015,,,,,,,,,,,
Erpeldange,6,4470.578,2782,6803,2015,,,,,,,,,,,
Esch-sur-Alzette,264,3867.7310000000002,2754,5112,2015,,,,,,,,,,,
Esch-sur-Sûre,5,4470.578,2782,6803,2015,,,,,,,,,,,
Ettelbruck,66,3674.4340000000002,2634,5073,2015,,,,,,,,,,,
Feulen,0,4470.578,2782,6803,2015,,,,,,,,,,,
Fischbach,5,4470.578,2782,6803,2015,,,,,,,,,,,
Flaxweiler,1,4470.578,2782,6803,2015,,,,,,,,,,,
Frisange,31,4622.2780000000002,3284,5696,2015,,,,,,,,,,,
Garnich,0,4470.578,2782,6803,2015,,,,,,,,,,,
Goesdorf,2,4470.578,2782,6803,2015,,,,,,,,,,,
Grevenmacher,33,3948.47,2783,5281,2015,,,,,,,,,,,
Grosbous,3,4470.578,2782,6803,2015,,,,,,,,,,,
Heffingen,2,4470.578,2782,6803,2015,,,,,,,,,,,
Hesperange,100,5312.1289999999999,3530,6730,2015,,,,,,,,,,,
Hobscheid,15,4180.134,3069,5452,2015,,,,,,,,,,,
Junglinster,15,4909.4470000000001,3930,5981,2015,,,,,,,,,,,
Kaerjeng,51,4044.6439999999998,3219,5126,2015,,,,,,,,,,,
Kayl,65,3993.7510000000002,3063,4990,2015,,,,,,,,,,,
Kehlen,6,4470.578,2782,6803,2015,,,,,,,,,,,
Kiischpelt,2,4470.578,2782,6803,2015,,,,,,,,,,,
Koerich,4,4470.578,2782,6803,2015,,,,,,,,,,,
Kopstal,11,4718.0550000000003,3498,6072,2015,,,,,,,,,,,
Lac de la Haute-Sûre,2,4470.578,2782,6803,2015,,,,,,,,,,,
Larochette,11,3667.4650000000001,2947,4356,2015,,,,,,,,,,,
Lenningen,5,4470.578,2782,6803,2015,,,,,,,,,,,
Leudelange,29,5411.1930000000002,4133,6586,2015,,,,,,,,,,,
Lintgen,20,4531.518,2833,5742,2015,,,,,,,,,,,
Lorentzweiler,15,4898.0240000000003,3716,6154,2015,,,,,,,,,,,
Luxembourg City,479,6001.0370000000003,4111,8074,2015,,,,,,,,,,,
Mamer,33,4785.3919999999998,2907,6103,2015,,,,,,,,,,,
Manternach,0,4470.578,2782,6803,2015,,,,,,,,,,,
Mersch,52,4154.1000000000004,2591,5357,2015,,,,,,,,,,,
Mertert,26,4025.3389999999999,2462,5497,2015,,,,,,,,,,,
Mertzig,6,4470.578,2782,6803,2015,,,,,,,,,,,
Mompach,0,4470.578,2782,6803,2015,,,,,,,,,,,
Mondercange,37,4052.5659999999998,3276,5065,2015,,,,,,,,,,,
Mondorf-les-Bains,43,4605.5200000000004,3826,5744,2015,,,,,,,,,,,
Niederanven,5,4470.578,2782,6803,2015,,,,,,,,,,,
Nommern,3,4470.578,2782,6803,2015,,,,,,,,,,,
Parc Hosingen,10,3356.2420000000002,2883,3890,2015,,,,,,,,,,,
Petange,116,3801.3440000000001,2446,5014,2015,,,,,,,,,,,
Preizerdaul,5,4470.578,2782,6803,2015,,,,,,,,,,,
Putscheid,0,4470.578,2782,6803,2015,,,,,,,,,,,
Rambrouch,2,4470.578,2782,6803,2015,,,,,,,,,,,
Reckange-sur-Mess,10,4448.3900000000003,3978,5086,2015,,,,,,,,,,,
Redange,13,3493.7080000000001,2096,4239,2015,,,,,,,,,,,
Reisdorf,1,4470.578,2782,6803,2015,,,,,,,,,,,
Remich,31,4108.598,2446,5531,2015,,,,,,,,,,,
Roeser,51,4794.2889999999998,3902,5579,2015,,,,,,,,,,,
Rosport,6,4470.578,2782,6803,2015,,,,,,,,,,,
Rumelange,27,3762.5529999999999,2668,4574,2015,,,,,,,,,,,
Saeul,6,4470.578,2782,6803,2015,,,,,,,,,,,
Sandweiler,11,5122.1170000000002,4286,5985,2015,,,,,,,,,,,
Sanem,97,3815.7469999999998,2763,4871,2015,,,,,,,,,,,
Schengen,18,3947.5619999999999,2648,5277,2015,,,,,,,,,,,
Schieren,6,4470.578,2782,6803,2015,,,,,,,,,,,
Schifflange,56,3907.643,1999,5162,2015,,,,,,,,,,,
Schuttrange,15,4507.0389999999998,3210,6535,2015,,,,,,,,,,,
Septfontaines,0,4470.578,2782,6803,2015,,,,,,,,,,,
Stadtbredimus,8,4470.578,2782,6803,2015,,,,,,,,,,,
Steinfort,15,4087.643,3158,5765,2015,,,,,,,,,,,
Steinsel,19,4834.0690000000004,2453,6744,2015,,,,,,,,,,,
Strassen,57,5633.1080000000002,3606,7228,2015,,,,,,,,,,,
Tandel,5,4470.578,2782,6803,2015,,,,,,,,,,,
Troisvierges,8,4470.578,2782,6803,2015,,,,,,,,,,,
Tuntange,2,4470.578,2782,6803,2015,,,,,,,,,,,
Useldange,4,4470.578,2782,6803,2015,,,,,,,,,,,
Vallée de l'Ernz,10,3894.1329999999998,3550,4711,2015,,,,,,,,,,,
Vianden,8,4470.578,2782,6803,2015,,,,,,,,,,,
Vichten,4,4470.578,2782,6803,2015,,,,,,,,,,,
Wahl,0,4470.578,2782,6803,2015,,,,,,,,,,,
Waldbillig,1,4470.578,2782,6803,2015,,,,,,,,,,,
Waldbredimus,2,4470.578,2782,6803,2015,,,,,,,,,,,
Walferdange,47,4980.4040000000005,3671,6521,2015,,,,,,,,,,,
Weiler-la-Tour,11,4705.1769999999997,3969,5333,2015,,,,,,,,,,,
Weiswampach,5,4470.578,2782,6803,2015,,,,,,,,,,,
Wiltz,19,2892.0639999999999,1852,3734,2015,,,,,,,,,,,
Wincrange,3,4470.578,2782,6803,2015,,,,,,,,,,,
Winseler,6,4470.578,2782,6803,2015,,,,,,,,,,,
Wormeldange,8,4470.578,2782,6803,2015,,,,,,,,,,,
National Average,,4470.5780000000004,2782,6803,2015,,,,,,,,,,,
Beaufort,4,4795.104,2952,7641,2016,,,,,,,,,,,
Bech,3,4795.104,2952,7641,2016,,,,,,,,,,,
Beckerich,10,3369.6729999999998,2583,4342,2016,,,,,,,,,,,
Berdorf,2,4795.104,2952,7641,2016,,,,,,,,,,,
Bertrange,33,6310.2169999999996,4286,8646,2016,,,,,,,,,,,
Bettembourg,44,4622.2690000000002,3565,6151,2016,,,,,,,,,,,
Bettendorf,5,4795.104,2952,7641,2016,,,,,,,,,,,
Betzdorf,12,4357.6220000000003,2465,5431,2016,,,,,,,,,,,
Bissen,13,4174.3649999999998,3261,5973,2016,,,,,,,,,,,
Biwer,3,4795.104,2952,7641,2016,,,,,,,,,,,
Boevange-sur-Attert,3,4795.104,2952,7641,2016,,,,,,,,,,,
Boulaide,2,4795.104,2952,7641,2016,,,,,,,,,,,
Bourscheid,1,4795.104,2952,7641,2016,,,,,,,,,,,
Bous,8,4795.104,2952,7641,2016,,,,,,,,,,,
Clervaux,20,3615.9380000000001,2405,4881,2016,,,,,,,,,,,
Colmar-Berg,29,4131.442,3360,5072,2016,,,,,,,,,,,
Consdorf,6,4795.104,2952,7641,2016,,,,,,,,,,,
Contern,21,5083.8010000000004,3765,6200,2016,,,,,,,,,,,
Dalheim,3,4795.104,2952,7641,2016,,,,,,,,,,,
Diekirch,38,4015.6930000000002,2247,5874,2016,,,,,,,,,,,
Differdange,229,3999.4470000000001,2853,5408,2016,,,,,,,,,,,
Dippach,10,4393.5690000000004,2363,6360,2016,,,,,,,,,,,
Dudelange,149,4312.473,3114,5355,2016,,,,,,,,,,,
Echternach,24,4190.5839999999998,2451,5585,2016,,,,,,,,,,,
Ell,5,4795.104,2952,7641,2016,,,,,,,,,,,
Erpeldange,9,4795.104,2952,7641,2016,,,,,,,,,,,
Esch-sur-Alzette,294,4069.297,2735,5321,2016,,,,,,,,,,,
Esch-sur-Sûre,1,4795.104,2952,7641,2016,,,,,,,,,,,
Ettelbruck,55,3897.768,2733,5548,2016,,,,,,,,,,,
Feulen,3,4795.104,2952,7641,2016,,,,,,,,,,,
Fischbach,2,4795.104,2952,7641,2016,,,,,,,,,,,
Flaxweiler,2,4795.104,2952,7641,2016,,,,,,,,,,,
Frisange,39,4582.4049999999997,3057,6000,2016,,,,,,,,,,,
Garnich,3,4795.104,2952,7641,2016,,,,,,,,,,,
Goesdorf,8,4795.104,2952,7641,2016,,,,,,,,,,,
Grevenmacher,39,3980.68,2875,5214,2016,,,,,,,,,,,
Grosbous,3,4795.104,2952,7641,2016,,,,,,,,,,,
Heffingen,8,4795.104,2952,7641,2016,,,,,,,,,,,
Hesperange,122,5590.56,3860,7226,2016,,,,,,,,,,,
Hobscheid,18,4055.172,2733,5748,2016,,,,,,,,,,,
Junglinster,21,5079.7569999999996,4306,5746,2016,,,,,,,,,,,
Kaerjeng,60,4240.0959999999995,2807,5685,2016,,,,,,,,,,,
Kayl,72,4527.8959999999997,3152,5941,2016,,,,,,,,,,,
Kehlen,16,4713.4809999999998,3644,6320,2016,,,,,,,,,,,
Kiischpelt,1,4795.104,2952,7641,2016,,,,,,,,,,,
Koerich,0,4795.104,2952,7641,2016,,,,,,,,,,,
Kopstal,15,6052.6509999999998,3156,8062,2016,,,,,,,,,,,
Lac de la Haute-Sûre,3,4795.104,2952,7641,2016,,,,,,,,,,,
Larochette,9,4795.104,2952,7641,2016,,,,,,,,,,,
Lenningen,7,4795.104,2952,7641,2016,,,,,,,,,,,
Leudelange,14,5440.1729999999998,4194,6719,2016,,,,,,,,,,,
Lintgen,18,4726.9539999999997,3399,6275,2016,,,,,,,,,,,
