Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Vall? de l'Ernz,2,3488.124,2301,4852,4264.941,2894,6203,2009
Vianden,1,3488.124,2301,4852,4264.941,2894,6203,2009
Vichten,6,3488.124,2301,4852,4264.941,2894,6203,2009
Wahl,0,3488.124,2301,4852,4264.941,2894,6203,2009
Waldbillig,5,3488.124,2301,4852,4264.941,2894,6203,2009
Waldbredimus,1,3488.124,2301,4852,4264.941,2894,6203,2009
Walferdange,42,3880.605,2739,4834,4264.941,2894,6203,2009
Weiler-la-Tour,3,3488.124,2301,4852,4264.941,2894,6203,2009
Weiswampach,5,3488.124,2301,4852,4264.941,2894,6203,2009
Wiltz,8,3488.124,2301,4852,4264.941,2894,6203,2009
Wincrange,3,3488.124,2301,4852,4264.941,2894,6203,2009
Winseler,4,3488.124,2301,4852,4264.941,2894,6203,2009
Wormeldange,2,3488.124,2301,4852,4264.941,2894,6203,2009
Beaufort,2,3663.585,2438,5142,4480.081,3155,6374,2010
Bech,0,3663.585,2438,5142,4480.081,3155,6374,2010
Beckerich,10,3140.999,2397,3950,4480.081,3155,6374,2010
Berdorf,2,3663.585,2438,5142,4480.081,3155,6374,2010
Bertrange,20,4122.171,3227,5567,4480.081,3155,6374,2010
Bettembourg,34,3482.89,2470,4289,4480.081,3155,6374,2010
Bettendorf,4,3663.585,2438,5142,4480.081,3155,6374,2010
Betzdorf,10,4306.119,3448,5001,4333.179,3684,4643,2010
Bissen,14,3245.175,2272,4000,4480.081,3155,6374,2010
Biwer,3,3663.585,2438,5142,4480.081,3155,6374,2010
Boevange-sur-Attert,2,3663.585,2438,5142,4480.081,3155,6374,2010
Boulaide,2,3663.585,2438,5142,4480.081,3155,6374,2010
Bourscheid,0,3663.585,2438,5142,4480.081,3155,6374,2010
Bous,5,3663.585,2438,5142,4480.081,3155,6374,2010
Clervaux,12,3321.924,2524,4865,3042.358,2535,3628,2010
Colmar-Berg,15,3213.209,2422,4270,4480.081,3155,6374,2010
Consdorf,3,3663.585,2438,5142,4480.081,3155,6374,2010
Contern,11,3853.918,2191,4993,4480.081,3155,6374,2010
Dalheim,12,3391.231,2705,4254,4480.081,3155,6374,2010
Diekirch,18,3428.99,2455,4152,4059.979,3251,4651,2010
Differdange,174,3268.796,2391,4073,3724.288,3232,4236,2010
Dippach,16,3531.395,2103,5111,4153.961,3540,4787,2010
Dudelange,123,3459.993,2527,4420,4090.169,3326,5127,2010
Echternach,26,3389.834,2491,4249,4480.081,3155,6374,2010
Ell,8,3663.585,2438,5142,2869.938,2264,3688,2010
Erpeldange,7,3663.585,2438,5142,3957.967,3206,5063,2010
Esch-sur-Alzette,160,3334.614,2441,4532,4081.28,3378,4827,2010
Esch-sur-S?e,1,3663.585,2438,5142,4480.081,3155,6374,2010
Eschweiler,4,3663.585,2438,5142,4480.081,3155,6374,2010
Ettelbruck,47,3295.174,2112,4302,4273.769,3456,4850,2010
Feulen,3,3663.585,2438,5142,4480.081,3155,6374,2010
Fischbach,4,3663.585,2438,5142,4480.081,3155,6374,2010
Flaxweiler,0,3663.585,2438,5142,4480.081,3155,6374,2010
Frisange,28,3648.618,2706,4807,4480.081,3155,6374,2010
Garnich,1,3663.585,2438,5142,4480.081,3155,6374,2010
Goesdorf,4,3663.585,2438,5142,4480.081,3155,6374,2010
Grevenmacher,32,3631.911,2620,4795,4480.081,3155,6374,2010
Grosbous,1,3663.585,2438,5142,4480.081,3155,6374,2010
Heffingen,0,3663.585,2438,5142,4480.081,3155,6374,2010
Hesperange,76,4236.483,3195,5277,4996.274,3907,6483,2010
Hobscheid,15,3462.752,2855,3830,4480.081,3155,6374,2010
Junglinster,16,3728.844,2739,4620,4533.006,3648,5197,2010
Kaerjeng,46,3454.338,2362,4284,4108.282,3564,4739,2010
